org_tags,cue_id,img_text,cuepool_name
2,3359,"A: heart diamond spade club, B: heart spade club diamond",Figure Exchange - 1
1,3360,"A: club spade diamond heart, B: spade club diamond heart",Figure Exchange - 1
1,3361,"A: spade diamond club heart, B: diamond spade club heart",Figure Exchange - 1
2,3362,"A: club diamond heart spade, B: heart club diamond spade",Figure Exchange - 1
2,3363,"A: diamond spade heart club, B: diamond club spade heart",Figure Exchange - 1
1,3364,"A: heart club diamond spade, B: heart club spade diamond",Figure Exchange - 1
1,3365,"A: diamond club spade heart, B: club diamond spade heart",Figure Exchange - 1
3,3366,"A: diamond club spade heart, B: spade club diamond heart",Figure Exchange - 1
3,3367,"A: heart club diamond spade, B: club spade heart diamond",Figure Exchange - 1
2,3368,"A: spade club heart diamond, B: heart spade club diamond",Figure Exchange - 1
1,3369,"A: heart spade club diamond, B: spade heart club diamond",Figure Exchange - 1
2,3370,"A: spade heart diamond club, B: heart spade club diamond",Figure Exchange - 1
3,3371,"A: heart spade club diamond, B: spade diamond heart club",Figure Exchange - 1
2,3372,"A: club heart spade diamond, B: heart club diamond spade",Figure Exchange - 1
2,450,"A: heart diamond spade club, B: heart spade club diamond",Figure Exchange - 2
2,453,"A: diamond spade heart club, B: diamond club spade heart",Figure Exchange - 2
2,461,"A: club heart spade diamond, B: heart club diamond spade",Figure Exchange - 2
2,467,"A: spade club heart diamond, B: heart spade club diamond",Figure Exchange - 2
1,472,"A: club spade diamond heart, B: spade club diamond heart",Figure Exchange - 2
2,473,"A: club diamond heart spade, B: heart club diamond spade",Figure Exchange - 2
2,474,"A: spade heart diamond club, B: heart spade club diamond",Figure Exchange - 2
1,478,"A: heart spade club diamond, B: spade heart club diamond",Figure Exchange - 2
3,451,"A: heart club diamond spade, B: club spade heart diamond",Figure Exchange - 2
3,455,"A: diamond heart club spade, B: diamond spade club heart",Figure Exchange - 2
4,457,"A: spade club diamond heart, B: club heart diamond spade",Figure Exchange - 2
3,458,"A: heart spade club diamond, B: spade diamond heart club",Figure Exchange - 2
3,464,"A: spade diamond club heart, B: heart spade diamond club",Figure Exchange - 2
3,469,"A: club spade diamond heart, B: spade heart club diamond",Figure Exchange - 2
4,471,"A: diamond spade club heart, B: club heart diamond spade",Figure Exchange - 2
3,475,"A: diamond club spade heart, B: spade club diamond heart",Figure Exchange - 2
5,3346,"A: spade heart club diamond, B: diamond heart club spade",Figure Exchange - 3
5,3347,"A: spade club diamond heart, B: heart club diamond spade",Figure Exchange - 3
4,3348,"A: club heart diamond spade, B: diamond heart spade club",Figure Exchange - 3
5,3349,"A: club diamond heart spade, B: heart spade diamond club",Figure Exchange - 3
4,3350,"A: heart diamond club spade, B: club diamond spade heart",Figure Exchange - 3
5,3351,"A: diamond spade heart club, B: club heart diamond spade",Figure Exchange - 3
4,3352,"A: diamond spade club heart, B: club heart diamond spade",Figure Exchange - 3
4,3353,"A: spade club diamond heart, B: club heart diamond spade",Figure Exchange - 3
5,3354,"A: club heart spade diamond, B: diamond spade club heart",Figure Exchange - 3
3,3355,"A: heart spade club diamond, B: spade diamond heart club",Figure Exchange - 3
4,3356,"A: club diamond spade heart, B: spade heart club diamond",Figure Exchange - 3
4,3357,"A: spade heart club diamond, B: diamond spade club heart",Figure Exchange - 3
5,3358,"A: heart diamond club spade, B: club spade diamond heart",Figure Exchange - 3
3,3373,"A: diamond club spade heart, B: spade club diamond heart",Figure Exchange - 3
3,3374,"A: heart club diamond spade, B: club spade heart diamond",Figure Exchange - 3
3,3375,"A: spade diamond club heart, B: heart spade diamond club",Figure Exchange - 3
